жилмассив Арча-Бешик,148
проспект Абсамата Масалиева,147
Верхний Джал,149
Верхний Джал,141
Средний Джал,142
Нижний Джал,143
Центр охраны материнства и детства,144
Бакаева,150
Шота Руставели,152
Политех,151
Айни,154
Шампанвинкомбинат - ул.Славянская,138
Горького,153
Жоомарта Боконбаева,136
Токтогула,162
Кыргызская национальная филармония им. Токтогула Сатылганова,140
Национальная академия наук Кыргызской Республики,160
Бейшеналиевой,135
Павлова,155
Шлагбаум,157
Улица Каракумская,158
Кызыл-Аскер,159
Школа №49 им. А. Толубаева,156
Рынок Дордой Моторс,137
Садыгалиева,145
ЗАО Акун,161
Школа №42,146
Киркомстром,139
