Оскон-Ордо,38,0
Микрорайон Тунгуч,15,1
Микрорайон Тунгуч-1,16,2
Университет Ала-Тоо,14,3
ТЦ Аю Grand,10,4
Автосборочный завод,11,5
Академия МВД,12,6
Депо-2,13,7
Теплицы,37,8
ТЭЦ-2,23,9
ТЭЦ,22,10
Академия Туризма,32,11
Свердловская районная администрация,5,12
м-н Восток-5,31,13
Рынок Таалай,9,14
Детский мир,21,15
Правды (проспект Чуй),20,,16
Цирк,24,17
Кинотеатр Ала-Тоо,30,18
Кинотеатр Россия,29,19
Кыргызская национальная филармония им. Токтогула Сатылганова,17,20
Национальная академия наук Кыргызской Республики,35,21
Бейшеналиевой,6,22
Павлова,25,23
Шлагбаум,27,24
Улица Каракумская,28,25
Кызыл-Аскер,33,26
Школа №49 им. А. Толубаева,26,27
Улица Кайназаровой,34,28
Рынок Дордой Моторс,7,29
Садыгалиева,18,30
ЗАО Акун,36,31
Киркомстром,19,32
Баетова,8,33
Конечная,39,34
