микрорайон Асанбай,22
микрорайон Асанбай,32
микрорайон Асанбай,16
11-й микрорайон,17
Асанбай,13
6-й микрорайон,12
5-й микрорайон,33
4-й микрорайон,15
Юнусалиева (ул. Суеркулова),10
Орто-Сайский рынок,18
Кыргызская Государственная Академия Физической Культуры и Спорта,14
Ахунбаева,19
Завод Дастан,20
Медерова,21
Кулатова,24
Боконбаева,25
Моссовет,7
Киевская,31
Бульвар Эркиндик,29
Площадь Ала-Тоо,27
Тоголок Молдо,26
Кыргызская национальная филармония им. Токтогула Сатылганова,23
Национальная академия наук Кыргызской Республики,30
Бейшеналиевой,6
Павлова,28
Рыскулова,9
Коммунаров,8
Ленская,11
с. Пригородное,5
