Куланак,41
Конечная,40
Молдокулова,39
Куйручук,9
Магазин Глобус,10
Улан микрорайон,35
Кок-Жар микрорайон,22
Анкара,13
ТЦ Технопарк,14
Городское ГАИ,15
ТЦ Таш-Рабат,16
Жукеева-Пудовкина,8
Кулатова,23
Боконбаева,24
Моссовет,7
Киевская,37
Бульвар Эркиндик,29
Площадь Ала-Тоо,25
Кинотеатр Россия,31
Кыргызская национальная филармония им. Токтогула Сатылганова,17
Национальная академия наук Кыргызской Республики,34
Бейшеналиевой,6
Павлова,26
Шлагбаум,28
Улица Каракумская,30
Кызыл-Аскер,32
Школа №49 им. А. Толубаева,27
Улица Кайназаровой,33
Рынок Дордой Моторс,11
Садыгалиева,18
ЗАО Акун,36
Киркомстром,19
Баетова,12
Школьная,21
Колхозная,20
Луговая,5
БЧК,38
