КНУ им. Ж. Баласагына,110,0
Супара,130,1
Мечеть,101,2
Магазин Ади,131,3
Магазин Рияз,116,4
микрорайон Асанбай,89,5
11-й микрорайон,90,6
МТУ №7,91,7
Парк Асанбай,120,8
Сухэ-Батора,92,9
ул. Жукеева-Пудовкина,93,10
Жукеева-Пудовкина,94,11
8-й микрорайон,95,12
8-й микрорайон,96,13
Суеркулова,97,14
Кыргызская Государственная Медицинская Академия им. Исы Ахунбаева,98,15
БГТС,99,16
Алиаскара Токтоналиева,105,17
Политех,103,18
Айни,106,19
Шампанвинкомбинат - ул.Славянская,88,20
Горького,104,21
Жоомарта Боконбаева,86,22
Токтогула,126,23
Кыргызская национальная филармония им. Токтогула Сатылганова,100,24
Национальная академия наук Кыргызской Республики,114,25
Бейшеналиевой,85,26
Павлова,107,27
Шлагбаум,109,28
Улица Каракумская,111,29
Кызыл-Аскер,112,30
Школа №49 им. А. Толубаева,108,31
Улица Кайназаровой,113,32
Рынок Дордой Моторс,87,33
Садыгалиева,118,34
Джамгерчинова,128,35
Мурманская,119,36
Льва Толстого (ул. Чайковского),117,37
Тимура Фрунзе,115,38
Воровского,122,39
Завод Кока-Кола,102,40
Завод Шоро,123,41
Ашар,124,42
Михаила Лущихина,125,43
Лущихина,121,44
ул. Улукман,129,45
Ак-Ордо,127,46
