Аламедин-1,12
Строительная фирма Азат,28
Нефтебаза,5
Улица Кырман,29
Микрорайон Тунгуч,23
Микрорайон Тунгуч-1,24
Университет Ала-Тоо,22
Республиканское ГАИ,25
АГЗС,21
Алтын Ордо,20
Улица Оберон,18
Дордой,16
Достоевского,15
Октябрьская,26
Завод Айнур,14
Рынок Мадина,13
Свердловская районная администрация,6
м-н Восток-5,33
Рынок Таалай,11
Детский мир,30
ЦУМ Айчурек,17
Кинотеатр Ала-Тоо,32
Кинотеатр Россия,31
Кыргызская национальная филармония им. Токтогула Сатылганова,27
Национальная академия наук Кыргызской Республики,34
Бейшеналиевой,9
Киностудия Айтыш Фильм,42
Улица Коммунаров,10
Ленская,19
Сергея Лазо,43
Школа №54,39
Стадион Динамо,40
Улица Дорожная,7
Серёгина,8
Ак-Жол пост ГАИ,35
Ак-Жол,36
Ак-Жол,37
Ак-Жол пост ГАИ,38
с. Степное,41
