с. Арчалы,30,0
с. Байтик,23,1
Подстанция,24,2
Арка,25,3
Карьерная,10,4
Мусулманкулова,11,5
Садырбаева,6,6
Матисакова,22,7
проспект Абсамата Масалиева,14,8
Масалиева,26,9
ТРЦ Ала-Арча,28,10
Казахстанское посольство,12,11
Политех,15,12
Айни,17,13
Шампанвинкомбинат - ул.Славянская,9,14
Горького,16,15
Жоомарта Боконбаева,8,16
Токтогула,29,17
Кыргызская национальная филармония им. Токтогула Сатылганова,13,18
Национальная академия наук Кыргызской Республики,21,19
Бейшеналиевой,7,20
Павлова,18,21
Шлагбаум,19,22
Улица Каракумская,20,23
микрорайон Достук,27,24
110-й квартал,5,25
